"","in.hypothesis","me.stat.desc","di.bias","di.spin"
"1","No","Yes","No","No"
"2","Yes","Yes","Yes","No"
"3","No","Yes","Yes","No"
"4","Yes","Yes","Yes","No"
"5","No","Yes","Yes","No"
"6","Does not apply","Yes","Yes","No"
"7","No","Yes","Yes","No"
"8","Yes","Yes","Yes","No"
"9","No","Yes","No","No"
"10","Yes","Yes","Yes","Yes"
"11","Yes","Yes","Yes","No"
"12","Yes","Yes","Yes","No"
"13","No","Yes","Yes","No"
"14","Yes","Yes","Yes","No"
"15","No","Yes","Yes","No"
"16","Yes","Yes","Yes","No"
"17","Yes","Yes","Yes","Yes"
"18","No","Yes","Yes","No"
"19","Yes","Yes","Yes","No"
"20","Yes","Yes","Yes","No"
"21","No","Yes","Yes","No"
"22","Does not apply","Yes","Yes","No"
"23","Yes","Yes","Yes","No"
"24","Does not apply","Yes","Yes","No"
"25","Yes","Yes","Yes","No"
"26","Yes","Yes","Yes","No"
"27","Yes","Yes","Yes","No"
"28","No","Yes","Yes","Yes"
"29","Yes","Yes","Yes","No"
"30","Yes","Yes","Yes","No"
"31","Yes","Yes","Yes","No"
"32","Yes","Yes","Yes","No"
"33","Yes","Yes","Yes","No"
"34","Yes","Yes","Yes","No"
"35","Yes","Yes","Yes","No"
"36","Yes","Yes","No","No"
"37","Yes","Yes","Yes","No"
"38","Yes","Yes","No","Yes"
"39","Unclear","Yes","Yes","No"
"40","Yes","Yes","Yes","No"
"41","Yes","Yes","Yes","No"
"42","Yes","Yes","Yes","No"
"43","Yes","Yes","Yes","No"
"44","Yes","Yes","Yes","No"
"45","Yes","Yes","Yes","No"
"46","Does not apply","Yes","Yes","No"
"47","Yes","Yes","yes","No"
"48","Unclear","Yes","Yes","Yes"
"49","Yes","Yes","No","No"
"50","No","Yes","Yes","No"
"51","Yes","Yes","Yes","Yes"
"52","Yes","Yes","Yes","No"
"53","Yes","Yes","Yes","No"
