"","regist","protocol","data.statem"
"1","No","No","No"
"2","Yes","No","Yes"
"3","Yes","Yes","Yes"
"4","Yes","No","No"
"5","Yes","Yes","Yes"
"6","No","No","No"
"7","Yes","Yes","Yes"
"8","Yes","Yes","No"
"9","No","No","No"
"10","Yes","No","No"
"11","No","No","No"
"12","No","No","No"
"13","Yes","No","Yes"
"14","No","No","No"
"15","Yes","Yes","Yes"
"16","No","No","No"
"17","No","No","No"
"18","Yes","No","No"
"19","Yes","Yes","No"
"20","Yes","Yes","No"
"21","Yes","No","No"
"22","No","Yes","No"
"23","Yes","No","Yes"
"24","No","No","No"
"25","No","No","No"
"26","Yes","No","No"
"27","No","No","No"
"28","No","No","No"
"29","Yes","Yes","Yes"
"30","Yes","Yes","Yes"
"31","No","No","No"
"32","Yes","No","No"
"33","Yes","No","No"
"34","Yes","No","No"
"35","Yes","Yes","Yes"
"36","No","No","No"
"37","Yes","No","No"
"38","No","No","No"
"39","Yes","Yes","Yes"
"40","No","No","No"
"41","Yes","Yes","Yes"
"42","Yes","Yes","No"
"43","Yes","No","No"
"44","Yes","Yes","Yes"
"45","Yes","Yes","Yes"
"46","Yes","No","Yes"
"47","Yes","No","Yes"
"48","Yes","No","No"
"49","Yes","No","No"
"50","Yes","Yes","Yes"
"51","Yes","No","No"
"52","Yes","Yes","No"
"53","Yes","Yes","Yes"
